# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.6.4

ne::1, string, 80085765616B6E657373
ne::2, string, 8008536C6F776E657373
ne::3, string, 800E4D696E696E672046617469677565
ne::4, string, 800A4A756D7020426F6F7374
ne::5, string, 800C536C6F772046616C6C696E67
ne::6, string, 800648756E676572
ne::7, string, 8008426164204C75636B
pe::1, string, 8008537472656E677468
pe::2, string, 80055370656564
pe::3, string, 800F4669726520526573697374616E6365
pe::4, string, 800C4865616C746820426F6F7374
pe::5, string, 800E446F6C7068696E73204772616365
pe::6, string, 800C526567656E65726174696F6E
pe::7, string, 800F576174657220427265617468696E67
pe::8, string, 80044C75636B
pe::9, string, 800A53617475726174696F6E

