# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.6.4

effect::7a031f98-de6f-3506-b870-49e3405775af::1, string, 80044C75636B
effect::7a031f98-de6f-3506-b870-49e3405775af::2, string, 80055370656564
effect::7a031f98-de6f-3506-b870-49e3405775af::3, string, 800C4865616C746820426F6F7374
effect::7a031f98-de6f-3506-b870-49e3405775af::4, string, 800A53617475726174696F6E
effect::7a031f98-de6f-3506-b870-49e3405775af::5, string, 800F576174657220427265617468696E67
effect::7a031f98-de6f-3506-b870-49e3405775af::6, string, 800E446F6C7068696E73204772616365
effect::7a031f98-de6f-3506-b870-49e3405775af::7, string, 8008537472656E677468
effect::64fbe64a-8187-3e8e-878a-b83f4952f6ab::1, string, 80085765616B6E657373
effect::64fbe64a-8187-3e8e-878a-b83f4952f6ab::2, string, 8008536C6F776E657373
effect::64fbe64a-8187-3e8e-878a-b83f4952f6ab::3, string, 800E4D696E696E672046617469677565
effect::a0b0026d-e703-3af8-9369-f4df059f3cc9::1, string, 80085765616B6E657373
effect::a0b0026d-e703-3af8-9369-f4df059f3cc9::2, string, 8008536C6F776E657373
effect::a0b0026d-e703-3af8-9369-f4df059f3cc9::3, string, 800E4D696E696E672046617469677565
effect::a0b0026d-e703-3af8-9369-f4df059f3cc9::4, string, 800A4A756D7020426F6F7374
effect::a0b0026d-e703-3af8-9369-f4df059f3cc9::5, string, 800C536C6F772046616C6C696E67
effect::a0b0026d-e703-3af8-9369-f4df059f3cc9::6, string, 800648756E676572
effect::a0b0026d-e703-3af8-9369-f4df059f3cc9::7, string, 8008426164204C75636B
effect::df8902e5-ac5d-33cd-b7c0-8f5f321310f5::1, string, 80085765616B6E657373
effect::df8902e5-ac5d-33cd-b7c0-8f5f321310f5::2, string, 8008536C6F776E657373
effect::df8902e5-ac5d-33cd-b7c0-8f5f321310f5::3, string, 800E4D696E696E672046617469677565
effect::df8902e5-ac5d-33cd-b7c0-8f5f321310f5::4, string, 800A4A756D7020426F6F7374
effect::df8902e5-ac5d-33cd-b7c0-8f5f321310f5::5, string, 800C536C6F772046616C6C696E67
effect::df8902e5-ac5d-33cd-b7c0-8f5f321310f5::6, string, 800648756E676572
effect::df8902e5-ac5d-33cd-b7c0-8f5f321310f5::7, string, 8008426164204C75636B
effect::f55953bb-bec6-3220-9982-6376f04c4490::1, string, 80055370656564
effect::f55953bb-bec6-3220-9982-6376f04c4490::2, string, 80044C75636B
effect::f55953bb-bec6-3220-9982-6376f04c4490::3, string, 800E446F6C7068696E73204772616365
effect::f55953bb-bec6-3220-9982-6376f04c4490::4, string, 800C526567656E65726174696F6E
effect::f55953bb-bec6-3220-9982-6376f04c4490::5, string, 800F576174657220427265617468696E67
effect::f55953bb-bec6-3220-9982-6376f04c4490::6, string, 800A53617475726174696F6E
effect::f55953bb-bec6-3220-9982-6376f04c4490::7, string, 800C4865616C746820426F6F7374
effect::f55953bb-bec6-3220-9982-6376f04c4490::8, string, 8008537472656E677468
effect::f55953bb-bec6-3220-9982-6376f04c4490::9, string, 800F4669726520526573697374616E6365
effectneg::64fbe64a-8187-3e8e-878a-b83f4952f6ab, boolean, 01
effectneg::a0b0026d-e703-3af8-9369-f4df059f3cc9, boolean, 01
effectneg::df8902e5-ac5d-33cd-b7c0-8f5f321310f5, boolean, 01
ne::1, string, 80085765616B6E657373
ne::2, string, 8008536C6F776E657373
ne::3, string, 800E4D696E696E672046617469677565
ne::4, string, 800A4A756D7020426F6F7374
ne::5, string, 800C536C6F772046616C6C696E67
ne::6, string, 800648756E676572
ne::7, string, 8008426164204C75636B
pe::1, string, 8008537472656E677468
pe::2, string, 80055370656564
pe::3, string, 800F4669726520526573697374616E6365
pe::4, string, 800C4865616C746820426F6F7374
pe::5, string, 800E446F6C7068696E73204772616365
pe::6, string, 800C526567656E65726174696F6E
pe::7, string, 800F576174657220427265617468696E67
pe::8, string, 80044C75636B
pe::9, string, 800A53617475726174696F6E
respawnmessage::64fbe64a-8187-3e8e-878a-b83f4952f6ab, string, 800E4D696E696E672046617469677565

