# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.6.4

effect::6e8a8972-f5b3-3916-bd8c-854b8d75a7b4::1, string, 80085765616B6E657373
effect::6e8a8972-f5b3-3916-bd8c-854b8d75a7b4::2, string, 8008536C6F776E657373
effect::6e8a8972-f5b3-3916-bd8c-854b8d75a7b4::3, string, 800E4D696E696E672046617469677565
effect::6e8a8972-f5b3-3916-bd8c-854b8d75a7b4::4, string, 800A4A756D7020426F6F7374
effect::6e8a8972-f5b3-3916-bd8c-854b8d75a7b4::5, string, 800C536C6F772046616C6C696E67
effect::6e8a8972-f5b3-3916-bd8c-854b8d75a7b4::6, string, 800648756E676572
effect::6e8a8972-f5b3-3916-bd8c-854b8d75a7b4::7, string, 8008426164204C75636B
effect::94609c94-0964-3a2b-80a8-d5e716e1826d::1, string, 80085765616B6E657373
effect::94609c94-0964-3a2b-80a8-d5e716e1826d::2, string, 8008536C6F776E657373
effect::94609c94-0964-3a2b-80a8-d5e716e1826d::3, string, 800E4D696E696E672046617469677565
effect::94609c94-0964-3a2b-80a8-d5e716e1826d::4, string, 800A4A756D7020426F6F7374
effect::94609c94-0964-3a2b-80a8-d5e716e1826d::5, string, 800C536C6F772046616C6C696E67
effect::94609c94-0964-3a2b-80a8-d5e716e1826d::6, string, 800648756E676572
effect::94609c94-0964-3a2b-80a8-d5e716e1826d::7, string, 8008426164204C75636B
effect::c4335b4c-e52f-3d3d-b805-482a984d9b6e::1, string, 800F4669726520526573697374616E6365
effect::c4335b4c-e52f-3d3d-b805-482a984d9b6e::2, string, 800F576174657220427265617468696E67
effect::c4335b4c-e52f-3d3d-b805-482a984d9b6e::3, string, 800C4865616C746820426F6F7374
effect::c4335b4c-e52f-3d3d-b805-482a984d9b6e::4, string, 80044C75636B
effect::c4335b4c-e52f-3d3d-b805-482a984d9b6e::5, string, 800E446F6C7068696E73204772616365
effect::c4335b4c-e52f-3d3d-b805-482a984d9b6e::6, string, 80055370656564
effect::c4335b4c-e52f-3d3d-b805-482a984d9b6e::7, string, 800C526567656E65726174696F6E
effect::c4335b4c-e52f-3d3d-b805-482a984d9b6e::8, string, 8008537472656E677468
effect::c4335b4c-e52f-3d3d-b805-482a984d9b6e::9, string, 800A53617475726174696F6E
effect::c9429afb-8a29-3e5a-afa2-435613ac5731::1, string, 8008537472656E677468
effect::c9429afb-8a29-3e5a-afa2-435613ac5731::2, string, 80044C75636B
effect::c9429afb-8a29-3e5a-afa2-435613ac5731::3, string, 80055370656564
effect::c9429afb-8a29-3e5a-afa2-435613ac5731::4, string, 800F4669726520526573697374616E6365
effect::c9429afb-8a29-3e5a-afa2-435613ac5731::5, string, 800C526567656E65726174696F6E
effect::c9429afb-8a29-3e5a-afa2-435613ac5731::6, string, 800F576174657220427265617468696E67
effect::c9429afb-8a29-3e5a-afa2-435613ac5731::7, string, 800C4865616C746820426F6F7374
effect::c9429afb-8a29-3e5a-afa2-435613ac5731::8, string, 800E446F6C7068696E73204772616365
effect::c9429afb-8a29-3e5a-afa2-435613ac5731::9, string, 800A53617475726174696F6E
effect::fc28a7bc-7f11-3c8a-904e-c87b3101d6b9::1, string, 80085765616B6E657373
effect::fc28a7bc-7f11-3c8a-904e-c87b3101d6b9::2, string, 8008536C6F776E657373
effect::fc28a7bc-7f11-3c8a-904e-c87b3101d6b9::3, string, 800E4D696E696E672046617469677565
effect::fc28a7bc-7f11-3c8a-904e-c87b3101d6b9::4, string, 800A4A756D7020426F6F7374
effect::fc28a7bc-7f11-3c8a-904e-c87b3101d6b9::5, string, 800C536C6F772046616C6C696E67
effect::fc28a7bc-7f11-3c8a-904e-c87b3101d6b9::6, string, 800648756E676572
effectneg::6e8a8972-f5b3-3916-bd8c-854b8d75a7b4, boolean, 01
effectneg::94609c94-0964-3a2b-80a8-d5e716e1826d, boolean, 01
effectneg::fc28a7bc-7f11-3c8a-904e-c87b3101d6b9, boolean, 01
lasteffectreset, date, 810974696D657374616D70040000018BAF5AB709
ne::1, string, 80085765616B6E657373
ne::2, string, 8008536C6F776E657373
ne::3, string, 800E4D696E696E672046617469677565
ne::4, string, 800A4A756D7020426F6F7374
ne::5, string, 800C536C6F772046616C6C696E67
ne::6, string, 800648756E676572
ne::7, string, 8008426164204C75636B
pe::1, string, 8008537472656E677468
pe::2, string, 80055370656564
pe::3, string, 800F4669726520526573697374616E6365
pe::4, string, 800C4865616C746820426F6F7374
pe::5, string, 800E446F6C7068696E73204772616365
pe::6, string, 800C526567656E65726174696F6E
pe::7, string, 800F576174657220427265617468696E67
pe::8, string, 80044C75636B
pe::9, string, 800A53617475726174696F6E

